,name,nominations
21,Jack Nicholson,3
6,Cate Blanchett,2
3,Anthony Hopkins,2
13,Emma Stone,2
20,Hilary Swank,2
8,Christoph Waltz,2
26,Jessica Lange,2
41,Michael Caine,2
52,Tom Hanks,2
49,Sean Penn,2
47,Sally Field,2
29,Jodie Foster,2
36,Kevin Spacey,2
5,Brad Pitt,1
7,Christian Bale,1
14,Gary Oldman,1
4,Ben Kingsley,1
1,Allison Janney,1
2,Anna Paquin,1
10,Cillian Murphy,1
11,Cuba Gooding Jr.,1
9,Christopher Plummer,1
0,Adrien Brody,1
22,Jared Leto,1
19,Helen Hunt,1
17,Halle Berry,1
18,Heath Ledger,1
16,George Clooney,1
15,Geoffrey Rush,1
12,Ellen Burstyn,1
24,Jennifer Connelly,1
30,Joe Pesci,1
31,Julia Roberts,1
33,Kate Winslet,1
32,Julianne Moore,1
25,Jeremy Irons,1
27,Jim Broadbent,1
28,Joaquin Phoenix,1
23,Jeff Bridges,1
38,Leonardo DiCaprio,1
37,Kim Basinger,1
35,Ke Huy Quan,1
34,Kathy Bates,1
43,Natalie Portman,1
39,Marcia Gay Harden,1
40,Marion Cotillard,1
42,Morgan Freeman,1
46,Russell Crowe,1
45,Roberto Benigni,1
44,Nicole Kidman,1
48,Sean Connery,1
50,Tilda Swinton,1
51,Tim Robbins,1
53,Tommy Lee Jones,1
54,Will Smith,1
